2023-02-13 20:20:25.217 | ERROR    | 123145407922176 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_5d284e7bbe837dec 移动端页面评价信息失败，错误详情 list index out of range
2023-02-13 20:20:25.335 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
2023-02-13 20:20:25.345 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:27.432 | ERROR    | 123145407922176 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_89bf88c53d733483 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:27.486 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
2023-02-13 20:20:32.921 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:37.777 | ERROR    | 123145407922176 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 1680c5ec25a1ed14b48e 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:37.815 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
2023-02-13 20:20:37.816 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:39.229 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:40.747 | ERROR    | 123145407922176 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_a8d7e183365b2224 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:40.781 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
2023-02-13 20:20:42.855 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:44.673 | ERROR    | 123145525448704 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_1fa84045298906a3 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:44.714 | ERROR    | 123145525448704 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
2023-02-13 20:20:45.695 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:46.178 | ERROR    | 123145525448704 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_34e738ecf3a6c2b4 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:46.212 | ERROR    | 123145525448704 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
