2023-02-13 20:20:15.082 | WARNING  | 123145407922176 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://45.231.170.137:999', 'https': 'http://201.218.42.202:1994'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_ec2731815f00638f (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x120524a90>, 'Connection to 201.218.42.202 timed out. (connect timeout=4)'))
2023-02-13 20:20:15.555 | WARNING  | 123145424711680 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://117.157.197.18:3128', 'https': 'http://202.169.51.46:8080'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_18c148007a0f25fc (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x120525fc0>, 'Connection to 202.169.51.46 timed out. (connect timeout=4)'))
2023-02-13 20:20:16.790 | WARNING  | 123145508659200 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://66.152.169.73:1994', 'https': 'http://118.31.2.38:8999'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_b14ee09ecfd9804c (Caused by SSLError(SSLError("bad handshake: SysCallError(54, 'ECONNRESET')")))
2023-02-13 20:20:17.748 | WARNING  | 123145407922176 | spider.page_get.base_request:get:76 | 第 2 次使用proxy : {'http': 'http://182.90.224.115:3128', 'https': 'http://103.179.189.72:3128'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_ec2731815f00638f (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x120610f10>: Failed to establish a new connection: [Errno 61] Connection refused')))
2023-02-13 20:20:19.760 | WARNING  | 123145491869696 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://31.42.57.1:8080', 'https': 'http://212.112.127.20:8080'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_92baaa3b53b07ae8 (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x120574e20>, 'Connection to 212.112.127.20 timed out. (connect timeout=4)'))
2023-02-13 20:20:19.968 | WARNING  | 123145475080192 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://198.211.55.167:1994', 'https': 'http://154.16.180.182:3128'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/596f3b406b956630d85e (Caused by ProxyError('Cannot connect to proxy.', TimeoutError('timed out')))
2023-02-13 20:20:20.640 | WARNING  | 123145441501184 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://85.14.243.31:3128', 'https': 'http://104.129.192.166:9443'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_1b4421229837fd76 (Caused by ProxyError('Cannot connect to proxy.', TimeoutError('select timed out')))
2023-02-13 20:20:21.577 | WARNING  | 123145525448704 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://49.212.143.246:6666', 'https': 'http://31.42.57.1:8080'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_dd58fd49bf8ce61a (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x120611a80>, 'Connection to 31.42.57.1 timed out. (connect timeout=4)'))
2023-02-13 20:20:25.207 | WARNING  | 123145407922176 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 clinic_web_ec2731815f00638f 页面被反爬，稍后重新爬取
2023-02-13 20:20:25.217 | ERROR    | 123145407922176 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_5d284e7bbe837dec 移动端页面评价信息失败，错误详情 list index out of range
2023-02-13 20:20:25.335 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
